symbol,stock_name
SUNDRMFAST,Sundram Fasteners Ltd.
SUNFLAG,Sunflag Iron & Steel Company Ltd.
SUNTECK,Sunteck Realty Ltd.
SUPREMEIND,Supreme Industries Ltd.
SUPRIYA,Supriya Lifescience Ltd.
SURYAROSNI,Surya Roshni Ltd.
SUZLON,Suzlon Energy Ltd.
SWANCORP,Swan Corp Ltd.
SWIGGY,Swiggy Ltd.
SYMPHONY,Symphony Ltd.
SYNGENE,Syngene International Ltd.
SYRMA,Syrma SGS Technology Ltd.
TARC,TARC Ltd.
TBOTEK,TBO Tek Ltd.
TDPOWERSYS,TD Power Systems Ltd.
TSFINV,TSF Investments Ltd.
TVSMOTOR,TVS Motor Company Ltd.
TVSSCS,TVS Supply Chain Solutions Ltd.
TANLA,Tanla Platforms Ltd.
TATACHEM,Tata Chemicals Ltd.
TATACOMM,Tata Communications Ltd.
TCS,Tata Consultancy Services Ltd.
TATACONSUM,Tata Consumer Products Ltd.
TATAELXSI,Tata Elxsi Ltd.
TATAINVEST,Tata Investment Corporation Ltd.
TMPV,Tata Motors Passenger Vehicles Ltd.
TATAPOWER,Tata Power Co. Ltd.
TATASTEEL,Tata Steel Ltd.
TATATECH,Tata Technologies Ltd.
TTML,Tata Teleservices (Maharashtra) Ltd.
TEAMLEASE,Teamlease Services Ltd.
TECHM,Tech Mahindra Ltd.
TECHNOE,Techno Electric & Engineering Company Ltd.
TEGA,Tega Industries Ltd.
TEJASNET,Tejas Networks Ltd.
TEXRAIL,Texmaco Rail & Eng. Ltd.
THANGAMAYL,Thangamayil Jewellery Ltd.
ANUP,The Anup Engineering Ltd.
NIACL,The New India Assurance Company Ltd.
RAMCOCEM,The Ramco Cements Ltd.
THERMAX,Thermax Ltd.
THOMASCOOK,Thomas Cook (India) Ltd.
THYROCARE,Thyrocare Technologies Ltd.
TI,Tilaknagar Industries Ltd.
TIMETECHNO,Time Technoplast Ltd.
TIMKEN,Timken India Ltd.
TIPSMUSIC,Tips Music Ltd.
TITAGARH,Titagarh Rail Systems Ltd.
TITAN,Titan Company Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
TORNTPOWER,Torrent Power Ltd.
TARIL,Transformers And Rectifiers (India) Ltd.
TRANSRAILL,Transrail Lighting Ltd.
TRENT,Trent Ltd.
TRIDENT,Trident Ltd.
TRIVENI,Triveni Engineering & Industries Ltd.
TRITURBINE,Triveni Turbine Ltd.
TIINDIA,Tube Investments of India Ltd.
UCOBANK,UCO Bank
UNOMINDA,UNO Minda Ltd.
UPL,UPL Ltd.
UTIAMC,UTI Asset Management Company Ltd.
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
UNIMECH,Unimech Aerospace and Manufacturing Ltd.
UNIONBANK,Union Bank of India
UBL,United Breweries Ltd.
UNITDSPR,United Spirits Ltd.
USHAMART,Usha Martin Ltd.
VGUARD,V-Guard Industries Ltd.
VMART,V-Mart Retail Ltd.
VIPIND,V.I.P. Industries Ltd.
V2RETAIL,V2 Retail Ltd.
VSTIND,VST Industries Ltd.
WABAG,Va Tech Wabag Ltd.
VAIBHAVGBL,Vaibhav Global Ltd.
DBREALTY,Valor Estate Ltd.
VTL,Vardhman Textiles Ltd.
VARROC,Varroc Engineering Ltd.
VBL,Varun Beverages Ltd.
MANYAVAR,Vedant Fashions Ltd.
VEDL,Vedanta Ltd.
VENTIVE,Ventive Hospitality Ltd.
VESUVIUS,Vesuvius India Ltd.
VIJAYA,Vijaya Diagnostic Centre Ltd.
VINATIORGA,Vinati Organics Ltd.
VMM,Vishal Mega Mart Ltd.
IDEA,Vodafone Idea Ltd.
VOLTAMP,Voltamp Transformers Ltd
VOLTAS,Voltas Ltd.
WAAREEENER,Waaree Energies Ltd.
WAAREERTL,Waaree Renewable Technologies Ltd.
WEBELSOLAR,Websol Energy System Ltd.
WELCORP,Welspun Corp Ltd.
WELENT,Welspun Enterprises Ltd.
WELSPUNLIV,Welspun Living Ltd.
WESTLIFE,Westlife Foodworld Ltd.
WHIRLPOOL,Whirlpool of India Ltd.
WIPRO,Wipro Ltd.
WOCKPHARMA,Wockhardt Ltd.
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd.
YESBANK,Yes Bank Ltd.
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.
ZEEL,Zee Entertainment Enterprises Ltd.
ZENTEC,Zen Technologies Ltd.
ZENSARTECH,Zensar Technolgies Ltd.
ZYDUSLIFE,Zydus Lifesciences Ltd.
ZYDUSWELL,Zydus Wellness Ltd.
ECLERX,eClerx Services Ltd.
EMUDHRA,eMudhra Ltd.
